Origin;Destination;Number
Semirechenskaya;Amurskaya;22
SyrDaryinskaya;Amurskaya;12
Turgayskaya;Amurskaya;3
Uralskaya;Amurskaya;14
Ferganskaya;Amurskaya;1
Astrakhanskaya;Arkhangelskaya;20
Bessarabskaya;Arkhangelskaya;19
Vilenskaya;Arkhangelskaya;182
Vitebskaya;Arkhangelskaya;186
Vladimirskaya;Arkhangelskaya;191
Vologodskaya;Arkhangelskaya;4093
Volhynskaya;Arkhangelskaya;47
Voronezhskaya;Arkhangelskaya;25
Viatskaya;Arkhangelskaya;317
Grodnenskaya;Arkhangelskaya;60
VojskaDonskogo;Arkhangelskaya;7
Ekaterinoslavskaya;Arkhangelskaya;16
Kazanskaya;Arkhangelskaya;117
Kalugskaya;Arkhangelskaya;84
Kievskaya;Arkhangelskaya;39
Kovenskaya;Arkhangelskaya;104
Kostromskaya;Arkhangelskaya;125
Kurlandskaya;Arkhangelskaya;55
Kurskaya;Arkhangelskaya;36
Liflyandskaya;Arkhangelskaya;117
Minskaya;Arkhangelskaya;68
Mogilevskaya;Arkhangelskaya;54
Moscowskaya;Arkhangelskaya;186
Nizhegorodskaya;Arkhangelskaya;74
Novgorodskaya;Arkhangelskaya;444
Olonetskaya;Arkhangelskaya;1602
Orenburgskaya;Arkhangelskaya;21
Orlovskaya;Arkhangelskaya;48
Penzenskaya;Arkhangelskaya;61
Permskaya;Arkhangelskaya;94
Podolskaya;Arkhangelskaya;23
Poltavskaya;Arkhangelskaya;33
Pskovskaya;Arkhangelskaya;57
Ryazanskaya;Arkhangelskaya;94
Samaraskaya;Arkhangelskaya;43
StPetersburgskaya;Arkhangelskaya;1343
Saratovskaya;Arkhangelskaya;65
Simbirskaya;Arkhangelskaya;45
Smolenskaya;Arkhangelskaya;51
Tauridskaya;Arkhangelskaya;17
Tambovskaya;Arkhangelskaya;56
Tverskaya;Arkhangelskaya;134
Tulskaya;Arkhangelskaya;64
Ufimskaya;Arkhangelskaya;13
Kharkovskaya;Arkhangelskaya;7
Khersonskaya;Arkhangelskaya;22
Chernigovskaya;Arkhangelskaya;24
Estonskaya;Arkhangelskaya;52
Yaroslavskaya;Arkhangelskaya;203
Warsawskaya;Arkhangelskaya;56
Kaliszskaya;Arkhangelskaya;4
Kieleckaya;Arkhangelskaya;13
Lomzinskaya;Arkhangelskaya;8
Lublinskaya;Arkhangelskaya;12
Piotrkovskaya;Arkhangelskaya;17
Plockaya;Arkhangelskaya;137
Radomskaya;Arkhangelskaya;1
Suwalkskaya;Arkhangelskaya;61
Siedlcskaya;Arkhangelskaya;8
Bakinskaya;Arkhangelskaya;0
Dagestanskaya;Arkhangelskaya;4
Elisabethpolskaya;Arkhangelskaya;4
Karsskaya;Arkhangelskaya;2
Kubanskaya;Arkhangelskaya;4
Kutaisskaya;Arkhangelskaya;1
Stavropolskaya;Arkhangelskaya;1
Terskaya;Arkhangelskaya;0
Tiflisskaya;Arkhangelskaya;3
Cernomorskaya;Arkhangelskaya;1
Erevanskaya;Arkhangelskaya;4
Amurskaya;Arkhangelskaya;0
Eniseiskaya;Arkhangelskaya;12
Zabaikalskaya;Arkhangelskaya;6
Irkutskaya;Arkhangelskaya;2
Primorskaya;Arkhangelskaya;7
Sakhalin;Arkhangelskaya;0
Tobolskaya;Arkhangelskaya;559
Tomskaya;Arkhangelskaya;9
Yakutskaya;Arkhangelskaya;2
Akmolinskaya;Arkhangelskaya;8
Zakaspiyskaya;Arkhangelskaya;0
Samarkandskaya;Arkhangelskaya;1
Semipalatinskaya;Arkhangelskaya;1
Semirechenskaya;Arkhangelskaya;0
SyrDaryinskaya;Arkhangelskaya;0
Turgayskaya;Arkhangelskaya;3
Uralskaya;Arkhangelskaya;5
Ferganskaya;Arkhangelskaya;0
Arkhangelskaya;Astrakhanskaya;60
Bessarabskaya;Astrakhanskaya;37
Vilenskaya;Astrakhanskaya;132
Vitebskaya;Astrakhanskaya;113
Vladimirskaya;Astrakhanskaya;3391
Vologodskaya;Astrakhanskaya;180
Volhynskaya;Astrakhanskaya;93
Voronezhskaya;Astrakhanskaya;7643
Viatskaya;Astrakhanskaya;1358
Grodnenskaya;Astrakhanskaya;217
VojskaDonskogo;Astrakhanskaya;1767
Ekaterinoslavskaya;Astrakhanskaya;596
Kazanskaya;Astrakhanskaya;5490
Kalugskaya;Astrakhanskaya;435
Kievskaya;Astrakhanskaya;504
Kovenskaya;Astrakhanskaya;293
Kostromskaya;Astrakhanskaya;869
Kurlandskaya;Astrakhanskaya;75
Kurskaya;Astrakhanskaya;636
Liflyandskaya;Astrakhanskaya;102
Minskaya;Astrakhanskaya;134
Mogilevskaya;Astrakhanskaya;211
Moscowskaya;Astrakhanskaya;738
Nizhegorodskaya;Astrakhanskaya;12664
Novgorodskaya;Astrakhanskaya;502
Olonetskaya;Astrakhanskaya;28
Orenburgskaya;Astrakhanskaya;300
Orlovskaya;Astrakhanskaya;401
Penzenskaya;Astrakhanskaya;16298
Permskaya;Astrakhanskaya;607
Podolskaya;Astrakhanskaya;106
Poltavskaya;Astrakhanskaya;557
Pskovskaya;Astrakhanskaya;39
Ryazanskaya;Astrakhanskaya;4254
Samaraskaya;Astrakhanskaya;6543
StPetersburgskaya;Astrakhanskaya;666
Saratovskaya;Astrakhanskaya;23313
Simbirskaya;Astrakhanskaya;10767
Smolenskaya;Astrakhanskaya;136
Tauridskaya;Astrakhanskaya;289
Tambovskaya;Astrakhanskaya;8070
Tverskaya;Astrakhanskaya;423
Tulskaya;Astrakhanskaya;612
Ufimskaya;Astrakhanskaya;367
Kharkovskaya;Astrakhanskaya;1527
Khersonskaya;Astrakhanskaya;500
Chernigovskaya;Astrakhanskaya;285
Estonskaya;Astrakhanskaya;27
Yaroslavskaya;Astrakhanskaya;424
Warsawskaya;Astrakhanskaya;151
Kaliszskaya;Astrakhanskaya;45
Kieleckaya;Astrakhanskaya;23
Lomzinskaya;Astrakhanskaya;78
Lublinskaya;Astrakhanskaya;187
Piotrkovskaya;Astrakhanskaya;25
Plockaya;Astrakhanskaya;20
Radomskaya;Astrakhanskaya;33
Suwalkskaya;Astrakhanskaya;30
Siedlcskaya;Astrakhanskaya;63
Bakinskaya;Astrakhanskaya;708
Dagestanskaya;Astrakhanskaya;420
Elisabethpolskaya;Astrakhanskaya;83
Karsskaya;Astrakhanskaya;7
Kubanskaya;Astrakhanskaya;103
Kutaisskaya;Astrakhanskaya;40
Stavropolskaya;Astrakhanskaya;480
Terskaya;Astrakhanskaya;411
Tiflisskaya;Astrakhanskaya;153
Cernomorskaya;Astrakhanskaya;4
Erevanskaya;Astrakhanskaya;69
Amurskaya;Astrakhanskaya;2
Eniseiskaya;Astrakhanskaya;21
Zabaikalskaya;Astrakhanskaya;4
Irkutskaya;Astrakhanskaya;23
Primorskaya;Astrakhanskaya;11
Sakhalin;Astrakhanskaya;0
Tobolskaya;Astrakhanskaya;96
Tomskaya;Astrakhanskaya;32
Yakutskaya;Astrakhanskaya;5
Akmolinskaya;Astrakhanskaya;19
Zakaspiyskaya;Astrakhanskaya;201
Samarkandskaya;Astrakhanskaya;12
Semipalatinskaya;Astrakhanskaya;9
Semirechenskaya;Astrakhanskaya;8
SyrDaryinskaya;Astrakhanskaya;68
Turgayskaya;Astrakhanskaya;10
Uralskaya;Astrakhanskaya;881
Ferganskaya;Astrakhanskaya;1
Arkhangelskaya;Bakinskaya;46
Astrakhanskaya;Bakinskaya;3594
Bessarabskaya;Bakinskaya;141
Vilenskaya;Bakinskaya;185
Vitebskaya;Bakinskaya;140
Vladimirskaya;Bakinskaya;2001
Vologodskaya;Bakinskaya;76
Volhynskaya;Bakinskaya;150
Voronezhskaya;Bakinskaya;923
Viatskaya;Bakinskaya;1089
Grodnenskaya;Bakinskaya;206
VojskaDonskogo;Bakinskaya;985
Ekaterinoslavskaya;Bakinskaya;511
Kazanskaya;Bakinskaya;2969
Kalugskaya;Bakinskaya;132
Kievskaya;Bakinskaya;299
Kovenskaya;Bakinskaya;505
Kostromskaya;Bakinskaya;220
Kurlandskaya;Bakinskaya;220
Kurskaya;Bakinskaya;248
Liflyandskaya;Bakinskaya;236
Minskaya;Bakinskaya;287
Mogilevskaya;Bakinskaya;198
Moscowskaya;Bakinskaya;346
Nizhegorodskaya;Bakinskaya;2909
Novgorodskaya;Bakinskaya;125
Olonetskaya;Bakinskaya;22
Orenburgskaya;Bakinskaya;299
Orlovskaya;Bakinskaya;211
Penzenskaya;Bakinskaya;3139
Permskaya;Bakinskaya;324
Podolskaya;Bakinskaya;210
Poltavskaya;Bakinskaya;809
Pskovskaya;Bakinskaya;44
Ryazanskaya;Bakinskaya;1432
Samaraskaya;Bakinskaya;3092
StPetersburgskaya;Bakinskaya;491
Saratovskaya;Bakinskaya;8864
Simbirskaya;Bakinskaya;3155
Smolenskaya;Bakinskaya;126
Tauridskaya;Bakinskaya;467
Tambovskaya;Bakinskaya;3232
