Origin;Destination;Number
Khersonskaya;Kharkovskaya;2611
Chernigovskaya;Kharkovskaya;4500
Estonskaya;Kharkovskaya;127
Yaroslavskaya;Kharkovskaya;353
Warsawskaya;Kharkovskaya;736
Kaliszskaya;Kharkovskaya;137
Kieleckaya;Kharkovskaya;1712
Lomzinskaya;Kharkovskaya;156
Lublinskaya;Kharkovskaya;576
Piotrkovskaya;Kharkovskaya;220
Plockaya;Kharkovskaya;134
Radomskaya;Kharkovskaya;194
Suwalkskaya;Kharkovskaya;201
Siedlcskaya;Kharkovskaya;515
Bakinskaya;Kharkovskaya;97
Dagestanskaya;Kharkovskaya;77
Elisabethpolskaya;Kharkovskaya;91
Karsskaya;Kharkovskaya;23
Kubanskaya;Kharkovskaya;1190
Kutaisskaya;Kharkovskaya;126
Stavropolskaya;Kharkovskaya;460
Terskaya;Kharkovskaya;344
Tiflisskaya;Kharkovskaya;294
Cernomorskaya;Kharkovskaya;42
Erevanskaya;Kharkovskaya;144
Amurskaya;Kharkovskaya;8
Eniseiskaya;Kharkovskaya;57
Zabaikalskaya;Kharkovskaya;13
Irkutskaya;Kharkovskaya;30
Primorskaya;Kharkovskaya;13
Sakhalin;Kharkovskaya;0
Tobolskaya;Kharkovskaya;70
Tomskaya;Kharkovskaya;45
Yakutskaya;Kharkovskaya;3
Akmolinskaya;Kharkovskaya;16
Zakaspiyskaya;Kharkovskaya;24
Samarkandskaya;Kharkovskaya;11
Semipalatinskaya;Kharkovskaya;9
Semirechenskaya;Kharkovskaya;10
SyrDaryinskaya;Kharkovskaya;21
Turgayskaya;Kharkovskaya;5
Uralskaya;Kharkovskaya;9
Ferganskaya;Kharkovskaya;10
Arkhangelskaya;Khersonskaya;428
Astrakhanskaya;Khersonskaya;311
Bessarabskaya;Khersonskaya;22518
Vilenskaya;Khersonskaya;4679
Vitebskaya;Khersonskaya;2256
Vladimirskaya;Khersonskaya;2095
Vologodskaya;Khersonskaya;358
Volhynskaya;Khersonskaya;18070
Voronezhskaya;Khersonskaya;3118
Viatskaya;Khersonskaya;884
Grodnenskaya;Khersonskaya;7530
VojskaDonskogo;Khersonskaya;4823
Ekaterinoslavskaya;Khersonskaya;13543
Kazanskaya;Khersonskaya;422
Kalugskaya;Khersonskaya;8545
Kievskaya;Khersonskaya;78526
Kovenskaya;Khersonskaya;3877
Kostromskaya;Khersonskaya;461
Kurlandskaya;Khersonskaya;1052
Kurskaya;Khersonskaya;9291
Liflyandskaya;Khersonskaya;1748
Minskaya;Khersonskaya;7501
Mogilevskaya;Khersonskaya;5787
Moscowskaya;Khersonskaya;2594
Nizhegorodskaya;Khersonskaya;619
Novgorodskaya;Khersonskaya;412
Olonetskaya;Khersonskaya;129
Orenburgskaya;Khersonskaya;1360
Orlovskaya;Khersonskaya;16320
Penzenskaya;Khersonskaya;954
Permskaya;Khersonskaya;925
Podolskaya;Khersonskaya;54766
Poltavskaya;Khersonskaya;27305
Pskovskaya;Khersonskaya;320
Ryazanskaya;Khersonskaya;2932
Samaraskaya;Khersonskaya;4477
StPetersburgskaya;Khersonskaya;2447
Saratovskaya;Khersonskaya;1173
Simbirskaya;Khersonskaya;2391
Smolenskaya;Khersonskaya;1849
Tauridskaya;Khersonskaya;20128
Tambovskaya;Khersonskaya;1856
Tverskaya;Khersonskaya;953
Tulskaya;Khersonskaya;3909
Ufimskaya;Khersonskaya;278
Kharkovskaya;Khersonskaya;4341
Chernigovskaya;Khersonskaya;11099
Estonskaya;Khersonskaya;286
Yaroslavskaya;Khersonskaya;491
Warsawskaya;Khersonskaya;5788
Kaliszskaya;Khersonskaya;611
Kieleckaya;Khersonskaya;640
Lomzinskaya;Khersonskaya;687
Lublinskaya;Khersonskaya;5662
Piotrkovskaya;Khersonskaya;1020
Plockaya;Khersonskaya;385
Radomskaya;Khersonskaya;2967
Suwalkskaya;Khersonskaya;718
Siedlcskaya;Khersonskaya;1144
Bakinskaya;Khersonskaya;80
Dagestanskaya;Khersonskaya;48
Elisabethpolskaya;Khersonskaya;41
Karsskaya;Khersonskaya;15
Kubanskaya;Khersonskaya;484
Kutaisskaya;Khersonskaya;378
Stavropolskaya;Khersonskaya;268
Terskaya;Khersonskaya;204
Tiflisskaya;Khersonskaya;377
Cernomorskaya;Khersonskaya;42
Erevanskaya;Khersonskaya;113
Amurskaya;Khersonskaya;11
Eniseiskaya;Khersonskaya;72
Zabaikalskaya;Khersonskaya;41
Irkutskaya;Khersonskaya;99
Primorskaya;Khersonskaya;36
Sakhalin;Khersonskaya;0
Tobolskaya;Khersonskaya;1453
Tomskaya;Khersonskaya;76
Yakutskaya;Khersonskaya;14
Akmolinskaya;Khersonskaya;35
Zakaspiyskaya;Khersonskaya;9
Samarkandskaya;Khersonskaya;25
Semipalatinskaya;Khersonskaya;10
Semirechenskaya;Khersonskaya;6
SyrDaryinskaya;Khersonskaya;25
Turgayskaya;Khersonskaya;9
Uralskaya;Khersonskaya;20
Ferganskaya;Khersonskaya;12
Arkhangelskaya;Kieleckaya;3
Astrakhanskaya;Kieleckaya;5
Bessarabskaya;Kieleckaya;72
Vilenskaya;Kieleckaya;193
Vitebskaya;Kieleckaya;42
Vladimirskaya;Kieleckaya;76
Vologodskaya;Kieleckaya;49
Volhynskaya;Kieleckaya;357
Voronezhskaya;Kieleckaya;84
Viatskaya;Kieleckaya;64
Grodnenskaya;Kieleckaya;427
VojskaDonskogo;Kieleckaya;339
Ekaterinoslavskaya;Kieleckaya;477
Kazanskaya;Kieleckaya;101
Kalugskaya;Kieleckaya;147
Kievskaya;Kieleckaya;333
Kovenskaya;Kieleckaya;85
Kostromskaya;Kieleckaya;52
Kurlandskaya;Kieleckaya;31
Kurskaya;Kieleckaya;43
Liflyandskaya;Kieleckaya;173
Minskaya;Kieleckaya;98
Mogilevskaya;Kieleckaya;62
Moscowskaya;Kieleckaya;301
Nizhegorodskaya;Kieleckaya;18
Novgorodskaya;Kieleckaya;14
Olonetskaya;Kieleckaya;4
Orenburgskaya;Kieleckaya;14
Orlovskaya;Kieleckaya;50
Penzenskaya;Kieleckaya;442
Permskaya;Kieleckaya;130
Podolskaya;Kieleckaya;102
Poltavskaya;Kieleckaya;90
Pskovskaya;Kieleckaya;19
Ryazanskaya;Kieleckaya;414
Samaraskaya;Kieleckaya;10
StPetersburgskaya;Kieleckaya;137
Saratovskaya;Kieleckaya;312
Simbirskaya;Kieleckaya;397
Smolenskaya;Kieleckaya;32
Tauridskaya;Kieleckaya;24
Tambovskaya;Kieleckaya;978
Tverskaya;Kieleckaya;87
Tulskaya;Kieleckaya;208
Ufimskaya;Kieleckaya;12
Kharkovskaya;Kieleckaya;606
Khersonskaya;Kieleckaya;98
Chernigovskaya;Kieleckaya;391
Estonskaya;Kieleckaya;7
Yaroslavskaya;Kieleckaya;77
Warsawskaya;Kieleckaya;2120
Kaliszskaya;Kieleckaya;629
Lomzinskaya;Kieleckaya;316
Lublinskaya;Kieleckaya;907
Piotrkovskaya;Kieleckaya;7464
Plockaya;Kieleckaya;378
Radomskaya;Kieleckaya;9902
Suwalkskaya;Kieleckaya;176
Siedlcskaya;Kieleckaya;489
Bakinskaya;Kieleckaya;6
Dagestanskaya;Kieleckaya;8
Elisabethpolskaya;Kieleckaya;1
Karsskaya;Kieleckaya;1
Kubanskaya;Kieleckaya;3
Kutaisskaya;Kieleckaya;9
Stavropolskaya;Kieleckaya;4
Terskaya;Kieleckaya;5
Tiflisskaya;Kieleckaya;11
Cernomorskaya;Kieleckaya;1
Erevanskaya;Kieleckaya;3
Amurskaya;Kieleckaya;0
Eniseiskaya;Kieleckaya;0
Zabaikalskaya;Kieleckaya;1
Irkutskaya;Kieleckaya;3
Primorskaya;Kieleckaya;0
Sakhalin;Kieleckaya;0
Tobolskaya;Kieleckaya;4
Tomskaya;Kieleckaya;4
Yakutskaya;Kieleckaya;4
Akmolinskaya;Kieleckaya;5
Zakaspiyskaya;Kieleckaya;2
Samarkandskaya;Kieleckaya;3
Semipalatinskaya;Kieleckaya;6
Semirechenskaya;Kieleckaya;1
SyrDaryinskaya;Kieleckaya;1
Turgayskaya;Kieleckaya;1
Uralskaya;Kieleckaya;2
Ferganskaya;Kieleckaya;0
Arkhangelskaya;Kievskaya;141
Astrakhanskaya;Kievskaya;204
Bessarabskaya;Kievskaya;2228
Vilenskaya;Kievskaya;2393
Vitebskaya;Kievskaya;1592
Vladimirskaya;Kievskaya;822
Vologodskaya;Kievskaya;325
Volhynskaya;Kievskaya;32664
Voronezhskaya;Kievskaya;1724
Viatskaya;Kievskaya;912
Grodnenskaya;Kievskaya;3347
VojskaDonskogo;Kievskaya;613
Ekaterinoslavskaya;Kievskaya;1544
Kazanskaya;Kievskaya;558
Kalugskaya;Kievskaya;6250
Kovenskaya;Kievskaya;1785
Kostromskaya;Kievskaya;346
Kurlandskaya;Kievskaya;775
Kurskaya;Kievskaya;10588
Liflyandskaya;Kievskaya;800
Minskaya;Kievskaya;9476
Mogilevskaya;Kievskaya;9679
Moscowskaya;Kievskaya;2397
Nizhegorodskaya;Kievskaya;439
Novgorodskaya;Kievskaya;334
Olonetskaya;Kievskaya;77
Orenburgskaya;Kievskaya;838
Orlovskaya;Kievskaya;12093
Penzenskaya;Kievskaya;514
Permskaya;Kievskaya;308
Podolskaya;Kievskaya;29508
Poltavskaya;Kievskaya;15461
Pskovskaya;Kievskaya;289
Ryazanskaya;Kievskaya;959
Samaraskaya;Kievskaya;1886
StPetersburgskaya;Kievskaya;2363
Saratovskaya;Kievskaya;1104
Simbirskaya;Kievskaya;280
Smolenskaya;Kievskaya;3476
Tauridskaya;Kievskaya;1278
Tambovskaya;Kievskaya;1269
Tverskaya;Kievskaya;755
Tulskaya;Kievskaya;2401
Ufimskaya;Kievskaya;3226
Kharkovskaya;Kievskaya;3156
Khersonskaya;Kievskaya;12315
Chernigovskaya;Kievskaya;26956
Estonskaya;Kievskaya;174
Yaroslavskaya;Kievskaya;451
Warsawskaya;Kievskaya;3801
Kaliszskaya;Kievskaya;756
Kieleckaya;Kievskaya;771
Lomzinskaya;Kievskaya;500
Lublinskaya;Kievskaya;1361
Piotrkovskaya;Kievskaya;913
Plockaya;Kievskaya;726
Radomskaya;Kievskaya;973
Suwalkskaya;Kievskaya;425
Siedlcskaya;Kievskaya;664
Bakinskaya;Kievskaya;58
Dagestanskaya;Kievskaya;38
Elisabethpolskaya;Kievskaya;30
Karsskaya;Kievskaya;6
Kubanskaya;Kievskaya;260
Kutaisskaya;Kievskaya;94
Stavropolskaya;Kievskaya;186
Terskaya;Kievskaya;201
Tiflisskaya;Kievskaya;232
Cernomorskaya;Kievskaya;12
Erevanskaya;Kievskaya;26
Amurskaya;Kievskaya;6
Eniseiskaya;Kievskaya;71
Zabaikalskaya;Kievskaya;29
Irkutskaya;Kievskaya;78
Primorskaya;Kievskaya;26
Sakhalin;Kievskaya;0
Tobolskaya;Kievskaya;158
Tomskaya;Kievskaya;94
Yakutskaya;Kievskaya;4
Akmolinskaya;Kievskaya;35
Zakaspiyskaya;Kievskaya;14
Samarkandskaya;Kievskaya;16
Semipalatinskaya;Kievskaya;8
Semirechenskaya;Kievskaya;13
SyrDaryinskaya;Kievskaya;19
Turgayskaya;Kievskaya;3
Uralskaya;Kievskaya;719
Ferganskaya;Kievskaya;9
Arkhangelskaya;Kostromskaya;240
Astrakhanskaya;Kostromskaya;69
Bessarabskaya;Kostromskaya;10
Vilenskaya;Kostromskaya;271
Vitebskaya;Kostromskaya;166
Vladimirskaya;Kostromskaya;6985
Vologodskaya;Kostromskaya;3127
Volhynskaya;Kostromskaya;75
Voronezhskaya;Kostromskaya;59
Viatskaya;Kostromskaya;7676
Grodnenskaya;Kostromskaya;206
VojskaDonskogo;Kostromskaya;47
Ekaterinoslavskaya;Kostromskaya;41
Kazanskaya;Kostromskaya;417
Kalugskaya;Kostromskaya;230
Kievskaya;Kostromskaya;121
Kovenskaya;Kostromskaya;112
Kurlandskaya;Kostromskaya;121
Kurskaya;Kostromskaya;93
Liflyandskaya;Kostromskaya;246
Minskaya;Kostromskaya;212
Mogilevskaya;Kostromskaya;128
Moscowskaya;Kostromskaya;1651
Nizhegorodskaya;Kostromskaya;3608
Novgorodskaya;Kostromskaya;381
Olonetskaya;Kostromskaya;106
Orenburgskaya;Kostromskaya;41
Orlovskaya;Kostromskaya;192
Penzenskaya;Kostromskaya;102
Permskaya;Kostromskaya;184
Podolskaya;Kostromskaya;121
Poltavskaya;Kostromskaya;69
Pskovskaya;Kostromskaya;106
Ryazanskaya;Kostromskaya;424
Samaraskaya;Kostromskaya;139
StPetersburgskaya;Kostromskaya;2428
Saratovskaya;Kostromskaya;146
Simbirskaya;Kostromskaya;208
Smolenskaya;Kostromskaya;251
Tauridskaya;Kostromskaya;43
Tambovskaya;Kostromskaya;253
Tverskaya;Kostromskaya;565
Tulskaya;Kostromskaya;286
Ufimskaya;Kostromskaya;84
Kharkovskaya;Kostromskaya;95
Khersonskaya;Kostromskaya;39
Chernigovskaya;Kostromskaya;63
Estonskaya;Kostromskaya;47
Yaroslavskaya;Kostromskaya;5306
Warsawskaya;Kostromskaya;146
Kaliszskaya;Kostromskaya;42
Kieleckaya;Kostromskaya;23
Lomzinskaya;Kostromskaya;13
Lublinskaya;Kostromskaya;147
Piotrkovskaya;Kostromskaya;109
Plockaya;Kostromskaya;25
Radomskaya;Kostromskaya;22
Suwalkskaya;Kostromskaya;51
Siedlcskaya;Kostromskaya;40
Bakinskaya;Kostromskaya;8
Dagestanskaya;Kostromskaya;4
Elisabethpolskaya;Kostromskaya;2
Karsskaya;Kostromskaya;0
Kubanskaya;Kostromskaya;9
Kutaisskaya;Kostromskaya;4
Stavropolskaya;Kostromskaya;9
Terskaya;Kostromskaya;10
Tiflisskaya;Kostromskaya;8
Cernomorskaya;Kostromskaya;2
Erevanskaya;Kostromskaya;0
Amurskaya;Kostromskaya;5
Eniseiskaya;Kostromskaya;23
Zabaikalskaya;Kostromskaya;4
Irkutskaya;Kostromskaya;25
Primorskaya;Kostromskaya;3
Sakhalin;Kostromskaya;0
Tobolskaya;Kostromskaya;27
Tomskaya;Kostromskaya;21
Yakutskaya;Kostromskaya;2
Akmolinskaya;Kostromskaya;5
Zakaspiyskaya;Kostromskaya;1
Samarkandskaya;Kostromskaya;1
Semipalatinskaya;Kostromskaya;0
Semirechenskaya;Kostromskaya;0
SyrDaryinskaya;Kostromskaya;5
Turgayskaya;Kostromskaya;0
Uralskaya;Kostromskaya;8
Ferganskaya;Kostromskaya;5
Arkhangelskaya;Kovenskaya;89
Astrakhanskaya;Kovenskaya;169
Bessarabskaya;Kovenskaya;115
Vilenskaya;Kovenskaya;15809
Vitebskaya;Kovenskaya;3202
Vladimirskaya;Kovenskaya;390
Vologodskaya;Kovenskaya;285
Volhynskaya;Kovenskaya;426
Voronezhskaya;Kovenskaya;609
Viatskaya;Kovenskaya;1519
Grodnenskaya;Kovenskaya;1744
VojskaDonskogo;Kovenskaya;895
Ekaterinoslavskaya;Kovenskaya;99
Kazanskaya;Kovenskaya;1595
Kalugskaya;Kovenskaya;687
Kievskaya;Kovenskaya;560
Kostromskaya;Kovenskaya;1079
Kurlandskaya;Kovenskaya;19766
Kurskaya;Kovenskaya;489
Liflyandskaya;Kovenskaya;1602
Minskaya;Kovenskaya;3351
Mogilevskaya;Kovenskaya;1451
Moscowskaya;Kovenskaya;331
Nizhegorodskaya;Kovenskaya;894
Novgorodskaya;Kovenskaya;524
Olonetskaya;Kovenskaya;211
Orenburgskaya;Kovenskaya;70
Orlovskaya;Kovenskaya;451
Penzenskaya;Kovenskaya;524
Permskaya;Kovenskaya;75
Podolskaya;Kovenskaya;135
Poltavskaya;Kovenskaya;978
Pskovskaya;Kovenskaya;521
Ryazanskaya;Kovenskaya;219
Samaraskaya;Kovenskaya;415
StPetersburgskaya;Kovenskaya;903
Saratovskaya;Kovenskaya;842
Simbirskaya;Kovenskaya;882
Smolenskaya;Kovenskaya;326
Tauridskaya;Kovenskaya;105
Tambovskaya;Kovenskaya;170
Tverskaya;Kovenskaya;5095
Tulskaya;Kovenskaya;103
Ufimskaya;Kovenskaya;273
Kharkovskaya;Kovenskaya;130
Khersonskaya;Kovenskaya;164
Chernigovskaya;Kovenskaya;727
Estonskaya;Kovenskaya;98
Yaroslavskaya;Kovenskaya;1528
Warsawskaya;Kovenskaya;695
Kaliszskaya;Kovenskaya;99
Kieleckaya;Kovenskaya;47
Lomzinskaya;Kovenskaya;301
Lublinskaya;Kovenskaya;200
Piotrkovskaya;Kovenskaya;93
Plockaya;Kovenskaya;78
Radomskaya;Kovenskaya;133
Suwalkskaya;Kovenskaya;11188
Siedlcskaya;Kovenskaya;87
Bakinskaya;Kovenskaya;11
Dagestanskaya;Kovenskaya;16
Elisabethpolskaya;Kovenskaya;6
Karsskaya;Kovenskaya;7
Kubanskaya;Kovenskaya;52
Kutaisskaya;Kovenskaya;13
Stavropolskaya;Kovenskaya;16
Terskaya;Kovenskaya;19
Tiflisskaya;Kovenskaya;24
Cernomorskaya;Kovenskaya;7
Erevanskaya;Kovenskaya;9
Amurskaya;Kovenskaya;5
Eniseiskaya;Kovenskaya;12
Zabaikalskaya;Kovenskaya;10
Irkutskaya;Kovenskaya;22
Primorskaya;Kovenskaya;17
Sakhalin;Kovenskaya;0
Tobolskaya;Kovenskaya;8
Tomskaya;Kovenskaya;11
Yakutskaya;Kovenskaya;6
Akmolinskaya;Kovenskaya;13
Zakaspiyskaya;Kovenskaya;6
Samarkandskaya;Kovenskaya;2
Semipalatinskaya;Kovenskaya;3
Semirechenskaya;Kovenskaya;6
SyrDaryinskaya;Kovenskaya;2
Turgayskaya;Kovenskaya;2
Uralskaya;Kovenskaya;3
Ferganskaya;Kovenskaya;1
Arkhangelskaya;Kubanskaya;83
Astrakhanskaya;Kubanskaya;890
Bessarabskaya;Kubanskaya;5099
Vilenskaya;Kubanskaya;378
Vitebskaya;Kubanskaya;610
Vladimirskaya;Kubanskaya;1731
Vologodskaya;Kubanskaya;203
Volhynskaya;Kubanskaya;688
Voronezhskaya;Kubanskaya;87086
Viatskaya;Kubanskaya;577
Grodnenskaya;Kubanskaya;506
VojskaDonskogo;Kubanskaya;31195
Ekaterinoslavskaya;Kubanskaya;49109
Kazanskaya;Kubanskaya;860
Kalugskaya;Kubanskaya;4018
Kievskaya;Kubanskaya;13864
Kovenskaya;Kubanskaya;911
Kostromskaya;Kubanskaya;514
Kurlandskaya;Kubanskaya;292
Kurskaya;Kubanskaya;64898
Liflyandskaya;Kubanskaya;1010
Minskaya;Kubanskaya;737
Mogilevskaya;Kubanskaya;2625
Moscowskaya;Kubanskaya;1142
Nizhegorodskaya;Kubanskaya;1628
Novgorodskaya;Kubanskaya;290
Olonetskaya;Kubanskaya;84
Orenburgskaya;Kubanskaya;1170
Orlovskaya;Kubanskaya;22965
Penzenskaya;Kubanskaya;3723
Permskaya;Kubanskaya;495
Podolskaya;Kubanskaya;2157
Poltavskaya;Kubanskaya;77374
Pskovskaya;Kubanskaya;223
Ryazanskaya;Kubanskaya;9321
Samaraskaya;Kubanskaya;6987
StPetersburgskaya;Kubanskaya;677
Saratovskaya;Kubanskaya;11182
Simbirskaya;Kubanskaya;1923
Smolenskaya;Kubanskaya;1431
Tauridskaya;Kubanskaya;15606
Tambovskaya;Kubanskaya;14252
Tverskaya;Kubanskaya;448
Tulskaya;Kubanskaya;5885
Ufimskaya;Kubanskaya;327
Kharkovskaya;Kubanskaya;81112
Khersonskaya;Kubanskaya;11639
Chernigovskaya;Kubanskaya;36375
Estonskaya;Kubanskaya;314
Yaroslavskaya;Kubanskaya;331
Warsawskaya;Kubanskaya;398
Kaliszskaya;Kubanskaya;104
Kieleckaya;Kubanskaya;140
Lomzinskaya;Kubanskaya;136
Lublinskaya;Kubanskaya;301
Piotrkovskaya;Kubanskaya;232
Plockaya;Kubanskaya;92
Radomskaya;Kubanskaya;312
Suwalkskaya;Kubanskaya;336
Siedlcskaya;Kubanskaya;211
Bakinskaya;Kubanskaya;230
Dagestanskaya;Kubanskaya;649
Elisabethpolskaya;Kubanskaya;292
Karsskaya;Kubanskaya;147
Kutaisskaya;Kubanskaya;1086
Stavropolskaya;Kubanskaya;17502
Terskaya;Kubanskaya;4994
Tiflisskaya;Kubanskaya;1598
Cernomorskaya;Kubanskaya;1086
Erevanskaya;Kubanskaya;883
Amurskaya;Kubanskaya;10
Eniseiskaya;Kubanskaya;57
Zabaikalskaya;Kubanskaya;10
Irkutskaya;Kubanskaya;29
Primorskaya;Kubanskaya;23
Sakhalin;Kubanskaya;0
Tobolskaya;Kubanskaya;358
Tomskaya;Kubanskaya;126
Yakutskaya;Kubanskaya;20
Akmolinskaya;Kubanskaya;56
Zakaspiyskaya;Kubanskaya;65
Samarkandskaya;Kubanskaya;15
Semipalatinskaya;Kubanskaya;15
Semirechenskaya;Kubanskaya;26
SyrDaryinskaya;Kubanskaya;33
Turgayskaya;Kubanskaya;11
Uralskaya;Kubanskaya;58
Ferganskaya;Kubanskaya;20
Arkhangelskaya;Kurlandskaya;108
Astrakhanskaya;Kurlandskaya;40
Bessarabskaya;Kurlandskaya;31
Vilenskaya;Kurlandskaya;2278
Vitebskaya;Kurlandskaya;4576
Vladimirskaya;Kurlandskaya;80
Vologodskaya;Kurlandskaya;105
Volhynskaya;Kurlandskaya;98
Voronezhskaya;Kurlandskaya;117
Viatskaya;Kurlandskaya;401
Grodnenskaya;Kurlandskaya;337
VojskaDonskogo;Kurlandskaya;45
Ekaterinoslavskaya;Kurlandskaya;97
Kazanskaya;Kurlandskaya;160
Kalugskaya;Kurlandskaya;181
Kievskaya;Kurlandskaya;100
Kovenskaya;Kurlandskaya;30669
Kostromskaya;Kurlandskaya;565
Kurskaya;Kurlandskaya;457
Liflyandskaya;Kurlandskaya;9280
Minskaya;Kurlandskaya;1824
Mogilevskaya;Kurlandskaya;1402
Moscowskaya;Kurlandskaya;279
Nizhegorodskaya;Kurlandskaya;584
Novgorodskaya;Kurlandskaya;218
Olonetskaya;Kurlandskaya;22
Orenburgskaya;Kurlandskaya;30
Orlovskaya;Kurlandskaya;164
Penzenskaya;Kurlandskaya;36
Permskaya;Kurlandskaya;22
Podolskaya;Kurlandskaya;94
Poltavskaya;Kurlandskaya;260
Pskovskaya;Kurlandskaya;236
Ryazanskaya;Kurlandskaya;422
Samaraskaya;Kurlandskaya;516
StPetersburgskaya;Kurlandskaya;737
Saratovskaya;Kurlandskaya;63
Simbirskaya;Kurlandskaya;653
Smolenskaya;Kurlandskaya;404
Tauridskaya;Kurlandskaya;40
Tambovskaya;Kurlandskaya;239
Tverskaya;Kurlandskaya;629
Tulskaya;Kurlandskaya;84
Ufimskaya;Kurlandskaya;131
Kharkovskaya;Kurlandskaya;90
Khersonskaya;Kurlandskaya;78
Chernigovskaya;Kurlandskaya;191
Estonskaya;Kurlandskaya;268
Yaroslavskaya;Kurlandskaya;1282
Warsawskaya;Kurlandskaya;245
Kaliszskaya;Kurlandskaya;65
Kieleckaya;Kurlandskaya;31
Lomzinskaya;Kurlandskaya;65
Lublinskaya;Kurlandskaya;48
Piotrkovskaya;Kurlandskaya;49
Plockaya;Kurlandskaya;29
Radomskaya;Kurlandskaya;42
Suwalkskaya;Kurlandskaya;453
Siedlcskaya;Kurlandskaya;31
Bakinskaya;Kurlandskaya;7
Dagestanskaya;Kurlandskaya;5
Elisabethpolskaya;Kurlandskaya;0
Karsskaya;Kurlandskaya;2
Kubanskaya;Kurlandskaya;8
Kutaisskaya;Kurlandskaya;7
Stavropolskaya;Kurlandskaya;6
Terskaya;Kurlandskaya;8
Tiflisskaya;Kurlandskaya;23
Cernomorskaya;Kurlandskaya;5
Erevanskaya;Kurlandskaya;3
Amurskaya;Kurlandskaya;3
Eniseiskaya;Kurlandskaya;2
Zabaikalskaya;Kurlandskaya;3
Irkutskaya;Kurlandskaya;3
Primorskaya;Kurlandskaya;12
Sakhalin;Kurlandskaya;0
Tobolskaya;Kurlandskaya;10
Tomskaya;Kurlandskaya;8
Yakutskaya;Kurlandskaya;0
Akmolinskaya;Kurlandskaya;1
Zakaspiyskaya;Kurlandskaya;0
Samarkandskaya;Kurlandskaya;0
Semipalatinskaya;Kurlandskaya;4
Semirechenskaya;Kurlandskaya;7
SyrDaryinskaya;Kurlandskaya;3
Turgayskaya;Kurlandskaya;0
Uralskaya;Kurlandskaya;0
Ferganskaya;Kurlandskaya;1
Arkhangelskaya;Kurskaya;40
Astrakhanskaya;Kurskaya;40
Bessarabskaya;Kurskaya;125
Vilenskaya;Kurskaya;392
Vitebskaya;Kurskaya;308
Vladimirskaya;Kurskaya;413
Vologodskaya;Kurskaya;59
Volhynskaya;Kurskaya;681
Voronezhskaya;Kurskaya;4690
Viatskaya;Kurskaya;282
Grodnenskaya;Kurskaya;222
VojskaDonskogo;Kurskaya;695
Ekaterinoslavskaya;Kurskaya;818
Kazanskaya;Kurskaya;106
Kalugskaya;Kurskaya;2167
Kievskaya;Kurskaya;2341
Kovenskaya;Kurskaya;350
Kostromskaya;Kurskaya;120
Kurlandskaya;Kurskaya;153
Liflyandskaya;Kurskaya;276
Minskaya;Kurskaya;431
Mogilevskaya;Kurskaya;689
Moscowskaya;Kurskaya;1412
Nizhegorodskaya;Kurskaya;215
Novgorodskaya;Kurskaya;169
Olonetskaya;Kurskaya;37
Orenburgskaya;Kurskaya;115
Orlovskaya;Kurskaya;11618
Penzenskaya;Kurskaya;245
Permskaya;Kurskaya;74
Podolskaya;Kurskaya;1810
Poltavskaya;Kurskaya;1399
Pskovskaya;Kurskaya;82
Ryazanskaya;Kurskaya;585
Samaraskaya;Kurskaya;885
StPetersburgskaya;Kurskaya;824
Saratovskaya;Kurskaya;149
Simbirskaya;Kurskaya;136
Smolenskaya;Kurskaya;473
Tauridskaya;Kurskaya;481
Tambovskaya;Kurskaya;576
Tverskaya;Kurskaya;454
Tulskaya;Kurskaya;1279
Ufimskaya;Kurskaya;266
Kharkovskaya;Kurskaya;10087
Khersonskaya;Kurskaya;500
Chernigovskaya;Kurskaya;5483
Estonskaya;Kurskaya;171
Yaroslavskaya;Kurskaya;148
Warsawskaya;Kurskaya;339
Kaliszskaya;Kurskaya;68
Kieleckaya;Kurskaya;842
Lomzinskaya;Kurskaya;108
Lublinskaya;Kurskaya;159
Piotrkovskaya;Kurskaya;78
Plockaya;Kurskaya;98
Radomskaya;Kurskaya;45
Suwalkskaya;Kurskaya;56
Siedlcskaya;Kurskaya;51
Bakinskaya;Kurskaya;22
Dagestanskaya;Kurskaya;37
Elisabethpolskaya;Kurskaya;10
Karsskaya;Kurskaya;5
Kubanskaya;Kurskaya;396
Kutaisskaya;Kurskaya;45
Stavropolskaya;Kurskaya;179
Terskaya;Kurskaya;58
Tiflisskaya;Kurskaya;84
Cernomorskaya;Kurskaya;24
Erevanskaya;Kurskaya;25
Amurskaya;Kurskaya;4
Eniseiskaya;Kurskaya;13
Zabaikalskaya;Kurskaya;4
Irkutskaya;Kurskaya;6
Primorskaya;Kurskaya;11
Sakhalin;Kurskaya;0
Tobolskaya;Kurskaya;39
Tomskaya;Kurskaya;73
Yakutskaya;Kurskaya;3
Akmolinskaya;Kurskaya;12
Zakaspiyskaya;Kurskaya;7
Samarkandskaya;Kurskaya;3
Semipalatinskaya;Kurskaya;3
Semirechenskaya;Kurskaya;2
SyrDaryinskaya;Kurskaya;4
Turgayskaya;Kurskaya;1
Uralskaya;Kurskaya;2
Ferganskaya;Kurskaya;4
Arkhangelskaya;Kutaisskaya;33
Astrakhanskaya;Kutaisskaya;209
Bessarabskaya;Kutaisskaya;322
Vilenskaya;Kutaisskaya;153
Vitebskaya;Kutaisskaya;126
Vladimirskaya;Kutaisskaya;115
